Date,Day,Time,Home,Visitor,Field
,,,,,
==========,,,,,
,,,,,
Navy Blue
Silver
Royal Blue
Light Blue
Maroon

Week 1,,,,,
9/3/2023,Tue,9:30 AM,2,4,BR1
9/3/2023,Tue,9:30 AM,5,1,BR2
9/5/2023,Thu,9:30 AM,1,3,BR3
9/5/2023,Thu,9:30 AM,4,5,BR4
Week 2,,,,,
9/10/2023,Tue,9:30 AM,3,5,NO2
9/10/2023,Tue,9:30 AM,2,1,NO3
9/12/2023,Thu,9:30 AM,5,2,W2
9/12/2023,Thu,9:30 AM,3,4,RV1
Week 3,,,,,
9/17/2023,Tue,9:30 AM,2,3,BR1
9/17/2023,Tue,9:30 AM,4,1,BR2
9/19/2023,Thu,9:30 AM,1,5,BR1
9/19/2023,Thu,9:30 AM,4,2,BR3
Week 4,,,,,
9/24/2023,Tue,9:30 AM,3,1,BR2
9/24/2023,Tue,9:30 AM,5,4,BR6
9/26/2023,Thu,9:30 AM,5,3,BR4
9/26/2023,Thu,9:30 AM,1,2,BR6
Week 5,,,,,
10/1/2023,Tue,9:30 AM,3,4,W2
10/1/2023,Tue,9:30 AM,2,5,RV1
10/3/2023,Thu,9:30 AM,4,1,BR1
10/3/2023,Thu,9:30 AM,2,3,BR2
Week 6,,,,,
10/8/2023,Tue,9:30 AM,2,4,NO2
10/8/2023,Tue,9:30 AM,5,1,NO3
10/10/2023,Thu,9:30 AM,4,5,BR5
10/10/2023,Thu,9:30 AM,1,3,W2
Week 7,,,,,
10/15/2023,Tue,9:30 AM,3,5,BR3
10/15/2023,Tue,9:30 AM,1,2,BR4
10/17/2023,Thu,9:30 AM,5,2,BR5
10/17/2023,Thu,9:30 AM,3,4,BR6
Week 8,,,,,
10/22/2023,Tue,9:30 AM,4,1,NO2
10/22/2023,Tue,9:30 AM,2,3,NO3
10/24/2023,Thu,9:30 AM,4,2,NO3
10/24/2023,Thu,9:30 AM,1,5,RV1
